Distance (µm),K Wt%,Li Wt%,C Wt%,O Wt%,F Wt%,Na Wt%,Al Wt%,Si Wt%,
0,0.90805,0,9.535677,0.450276,0.335181,0,0.008848,88.76196,
0.0098584896097153,0.349595,0,9.637247,0.692475,0.211604,0,0.532137,88.57694,
0.0197169792194306,0.032134,0,10.22045,0.520404,0.213144,0,0,89.01387,
0.0295754688291459,0.093954,0,8.533299,0,0.270921,0,0.715695,90.38613,
0.0394339584388612,1.587125,0,10.96445,0.877625,2.010112,0.704726,0.219854,83.63611,
0.0492924480485772,0.672202,0,10.18853,0.361962,1.650333,0.07445,0.395879,86.65664,
0.0591509376582925,0.961066,0,11.23477,0.695818,0.389672,0.254301,0.468206,85.99617,
0.0690094272680078,0.331996,0,10.25371,0.762837,0.335668,0,0.461811,87.85397,
0.0788679168777231,0.134782,0,11.30057,0.603638,0.91755,0,0.273253,86.7702,
0.0887264064874384,0.650975,0,9.752756,0.594939,0.361865,0.271753,0.157529,88.21018,
0.0985848960971537,1.142095,0,10.39199,1.017325,1.500953,0,0,85.94764,
0.108443385706869,1.972698,0,10.06894,1.12509,1.196821,0,0,85.63645,
0.118301875316584,0.504492,0,10.82731,1.323348,0.957279,0.030336,0.072528,86.28471,
0.1281603649263,1.565203,0,9.736159,0.6204,1.526925,0,0.154064,86.39725,
0.138018854536015,0,0,11.91441,1.11843,1.960187,0.208322,1.144901,83.65375,
0.147877344145731,1.504485,0,10.33981,1.362378,0.797092,0,0.144442,85.85179,
0.157735833755446,1.056948,0,12.58894,0.791867,1.779687,0,0,83.78256,
0.167594323365162,0.774765,0,9.168747,0.530677,1.754619,0.900367,0.764332,86.10649,
0.177452812974877,2.504183,0,11.69001,1.056596,1.121364,0.195617,0,83.43224,
0.187311302584592,1.268155,0,10.8296,0.327485,1.035755,0.496916,0.387369,85.65472,
0.197169792194307,0.894163,0,10.59688,1.214509,0.868201,0.132109,0.423215,85.87093,
0.207028281804023,1.662446,0,10.80621,1.215189,1.203713,0,0,85.11244,
0.216886771413738,2.707899,0,8.957277,0.788758,1.132069,0.328682,1.365805,84.71951,
0.226745261023453,2.368325,0,12.37399,0.419809,0,0.359606,0,84.47827,
0.236603750633169,2.101208,0,10.04248,0,2.763793,0,0,85.09251,
0.246462240242885,2.387598,0,10.77497,0.761573,1.787672,0.335978,0.538762,83.41344,
0.2563207298526,1.372238,0,10.35333,0.416922,2.170478,0.209315,0.428533,85.04919,
0.266179219462315,1.548777,0,12.74451,1.198203,0.487364,0,0.655675,83.36547,
0.276037709072031,2.348285,0,10.88777,0.47149,1.177689,0.790709,0,84.32405,
0.285896198681746,0.821104,0,9.912313,0.343608,1.317551,0.179858,0.154372,87.27119,
0.295754688291461,2.333676,0,11.58139,0.664846,2.453281,0.315966,0,82.65084,
0.305613177901176,1.885355,0,11.25778,0.281486,1.147933,0.085359,0.126167,85.21592,
0.315471667510892,2.496428,0,9.552999,0.337592,1.098092,0.239164,0.054906,86.22082,
0.325330157120607,0.895146,0,11.37582,0.473075,1.144295,0.18685,0.280561,85.64425,
0.335188646730323,2.411259,0,12.55471,0.529591,1.139931,0.248886,0,83.11562,
0.345047136340038,4.012238,0,13.0427,0.848044,0.025601,0.405296,0,81.66612,
0.354905625949754,3.11304,0,12.13472,0.085784,2.707725,0.412387,0.611114,80.93523,
